"server","user_action","details","created_on"
"public.portaler.zone","add","{""conns"":[""Pasos-Avosam"",""Steelhide Meadow""],""expires"":""2021-03-11T00:04:30.881Z""}","2021-03-10 11:01:30.895012+00"
"public.portaler.zone","add","{""conns"":[""Oebitos-Eraerom"",""Steelhide Meadow""],""expires"":""2021-03-10T12:48:45.326Z""}","2021-03-10 11:00:45.337973+00"
"public.portaler.zone","add","{""conns"":[""Casos-Uruxtum"",""Steelhide Meadow""],""expires"":""2021-03-10T12:31:08.630Z""}","2021-03-10 11:00:08.647974+00"
"public.portaler.zone","add","{""conns"":[""Conos-Avaelum"",""Pen Gent""],""expires"":""2021-03-11T00:54:11.116Z""}","2021-03-10 09:58:11.134334+00"
"public.portaler.zone","update","{""to"":{""id"":93180,""size"":2,""conn1"":""Conos-Avaelum"",""conn2"":""Pen Kerrig"",""expires"":""2021-03-10T10:35:03.876+00:00"",""server_id"":3,""created_by"":333,""created_on"":""2021-03-09T12:24:27.67393+00:00""}}","2021-03-10 09:58:03.89365+00"
"public.portaler.zone","add","{""conns"":[""Conos-Avaelum"",""Spectral Sump""],""expires"":""2021-03-10T10:44:57.682Z""}","2021-03-10 09:57:57.692911+00"
"public.portaler.zone","add","{""conns"":[""Conos-Avaelum"",""Ponitos-Aiayrom""],""expires"":""2021-03-10T11:05:52.879Z""}","2021-03-10 09:57:52.893303+00"
"public.portaler.zone","add","{""conns"":[""Conos-Avaelum"",""Soues-Uzurtum""],""expires"":""2021-03-10T23:50:01.306Z""}","2021-03-10 09:57:01.312006+00"
"public.portaler.zone","add","{""conns"":[""Drybasin Riverbed"",""Pieos-Ofairom""],""expires"":""2021-03-10T19:35:35.930Z""}","2021-03-10 09:55:36.015562+00"
"public.portaler.zone","add","{""conns"":[""Pieos-Ofairom"",""Soues-Uzurtum""],""expires"":""2021-03-11T00:40:27.858Z""}","2021-03-10 09:55:27.865532+00"
"public.portaler.zone","add","{""conns"":[""Meltwater Bog"",""Pieos-Ofairom""],""expires"":""2021-03-11T04:56:22.038Z""}","2021-03-10 09:55:22.049031+00"
"public.portaler.zone","update","{""to"":{""id"":94283,""size"":2,""conn1"":""Runnel Sink"",""conn2"":""Tonos-Obayam"",""expires"":""2021-03-10T10:54:03.351+00:00"",""server_id"":3,""created_by"":1625,""created_on"":""2021-03-10T07:38:16.392641+00:00""}}","2021-03-10 09:54:03.370344+00"
"public.portaler.zone","add","{""conns"":[""Cieitos-Ayosrom"",""Tonos-Obayam""],""expires"":""2021-03-10T11:18:58.382Z""}","2021-03-10 09:53:58.393939+00"
"public.portaler.zone","add","{""conns"":[""Timbertop Dale"",""Tonos-Obayam""],""expires"":""2021-03-10T19:15:51.457Z""}","2021-03-10 09:53:51.468821+00"
"public.portaler.zone","add","{""conns"":[""Meltwater Bog"",""Tonos-Obayam""],""expires"":""2021-03-10T16:19:44.677Z""}","2021-03-10 09:53:44.69392+00"
"public.portaler.zone","add","{""conns"":[""Huyitos-Agoitum"",""Wetgrave Bog""],""expires"":""2021-03-11T02:04:25.681Z""}","2021-03-10 09:48:25.697707+00"
"public.portaler.zone","add","{""conns"":[""Hightree Portal East"",""Huyitos-Agoitum""],""expires"":""2021-03-11T02:13:18.757Z""}","2021-03-10 09:48:18.764465+00"
