"server","user_action","details","created_on"
"public.portaler.zone","add","{""conns"":[""Bridgewatch"",""Whitewall Pass""],""expires"":""2021-04-21T21:56:09.171Z""}","2021-03-10 14:17:09.189341+00"
"public.portaler.zone","add","{""conns"":[""Bridgewatch"",""Whitewall Pass""],""expires"":""2021-04-21T21:55:56.943Z""}","2021-03-10 14:16:56.948302+00"
"public.portaler.zone","add","{""conns"":[""Qiitun-Et-Vynsom"",""Suyitos-Oyarlos""],""expires"":""2021-03-11T00:49:01.475Z""}","2021-03-10 12:17:01.492912+00"
"public.portaler.zone","update","{""to"":{""id"":94576,""size"":7,""conn1"":""Ferites-Ohohtum"",""conn2"":""Suyitos-Oyarlos"",""expires"":""2021-03-11T05:02:25.471+00:00"",""server_id"":4,""created_by"":1061,""created_on"":""2021-03-10T12:16:11.742698+00:00""}}","2021-03-10 12:16:25.486416+00"
"public.portaler.zone","add","{""conns"":[""Ferites-Ohohtum"",""Suyitos-Oyarlos""],""expires"":""2021-03-11T01:09:11.741Z""}","2021-03-10 12:16:11.752941+00"
"public.portaler.zone","add","{""conns"":[""Cetitos-Aiayrom"",""Quaent-Vynsum""],""expires"":""2021-03-10T15:48:12.441Z""}","2021-03-10 12:15:12.446747+00"
"public.portaler.zone","add","{""conns"":[""Cetitos-Aiayrom"",""Suyitos-Oyarlos""],""expires"":""2021-03-10T20:41:56.348Z""}","2021-03-10 12:14:56.380467+00"
"public.portaler.zone","add","{""conns"":[""Cetitos-Aiayrom"",""Sunstrand Dunes""],""expires"":""2021-03-11T04:02:40.130Z""}","2021-03-10 12:14:40.23926+00"
"public.portaler.zone","add","{""conns"":[""Cetitos-Aiayrom"",""Thirstwater Waste""],""expires"":""2021-03-11T02:26:26.721Z""}","2021-03-10 12:14:26.731263+00"
"public.portaler.zone","add","{""conns"":[""Cetitos-Aiayrom"",""Willowshade Mire""],""expires"":""2021-03-10T13:25:11.786Z""}","2021-03-10 12:14:11.798933+00"
"public.portaler.zone","add","{""conns"":[""Cetitos-Aiayrom"",""Qiient-Odesas""],""expires"":""2021-03-10T16:13:32.561Z""}","2021-03-10 12:13:32.566851+00"
"public.portaler.zone","add","{""conns"":[""Meltwater Bog"",""Pieos-Ofairom""],""expires"":""2021-03-11T00:08:29.300Z""}","2021-03-10 12:08:29.403499+00"
"public.portaler.zone","add","{""conns"":[""Honos-Oyezam"",""Quatun-Et-Odetum""],""expires"":""2021-03-11T00:02:11.523Z""}","2021-03-10 09:16:11.545526+00"
"public.portaler.zone","add","{""conns"":[""Pouitos-Ofairom"",""Tiros-Ouultum""],""expires"":""2021-03-10T16:18:06.047Z""}","2021-03-10 06:49:06.062632+00"
"public.portaler.zone","add","{""conns"":[""Shiftshadow Expanse"",""Tiros-Ouultum""],""expires"":""2021-03-10T08:09:48.504Z""}","2021-03-10 06:48:48.521753+00"
"public.portaler.zone","add","{""conns"":[""Hiles-Izizaum"",""Soritos-Apenlum""],""expires"":""2021-03-10T18:08:54.175Z""}","2021-03-10 06:28:54.183713+00"
"public.portaler.zone","add","{""conns"":[""Settun-Al-Nusis"",""Soritos-Apenlum""],""expires"":""2021-03-11T00:27:40.286Z""}","2021-03-10 06:28:40.309974+00"
"public.portaler.zone","add","{""conns"":[""Hasos-Agoitum"",""Soritos-Apenlum""],""expires"":""2021-03-10T19:43:31.608Z""}","2021-03-10 06:26:31.622554+00"
"public.portaler.zone","add","{""conns"":[""Hasos-Agoitum"",""Tiros-Ouultum""],""expires"":""2021-03-11T02:22:14.919Z""}","2021-03-10 06:26:14.931472+00"
"public.portaler.zone","add","{""conns"":[""Hasos-Agoitum"",""Hightree Strand""],""expires"":""2021-03-11T05:07:56.963Z""}","2021-03-10 06:25:56.973797+00"
"public.portaler.zone","add","{""conns"":[""Battlebrae Plain"",""Hasos-Agoitum""],""expires"":""2021-03-10T13:00:44.019Z""}","2021-03-10 06:25:44.032845+00"
"public.portaler.zone","add","{""conns"":[""Hasos-Agoitum"",""Peritos-Oconun""],""expires"":""2021-03-10T16:34:05.409Z""}","2021-03-10 06:24:05.419859+00"
"public.portaler.zone","add","{""conns"":[""Filitos-Uzazlum"",""Peritos-Oconun""],""expires"":""2021-03-10T20:25:03.502Z""}","2021-03-10 06:22:03.51618+00"
"public.portaler.zone","add","{""conns"":[""Dryvein Riverbed"",""Xases-Ataglos""],""expires"":""2021-03-10T19:36:27.688Z""}","2021-03-10 06:20:27.702289+00"
"public.portaler.zone","add","{""conns"":[""Skysand Plateau"",""Xases-Ataglos""],""expires"":""2021-03-10T11:33:12.866Z""}","2021-03-10 06:20:12.87814+00"
"public.portaler.zone","add","{""conns"":[""Filitos-Uzazlum"",""Xases-Ataglos""],""expires"":""2021-03-10T18:20:40.148Z""}","2021-03-10 06:19:40.254302+00"
"public.portaler.zone","add","{""conns"":[""Battlebrae Meadow"",""Xases-Ataglos""],""expires"":""2021-03-10T19:11:35.636Z""}","2021-03-10 06:17:35.650814+00"
"public.portaler.zone","delete","{""id"":94194,""size"":2,""conn1"":""Oynites-Araosum"",""conn2"":""Sasos-Oiozlum"",""expires"":""2021-03-10T07:16:17.302+00:00"",""server_id"":4,""created_by"":1520,""created_on"":""2021-03-10T06:15:17.30295+00:00""}","2021-03-10 06:16:02.404386+00"
"public.portaler.zone","add","{""conns"":[""Hilitos-Aiigaum"",""Sasos-Oiozlum""],""expires"":""2021-03-10T07:16:33.669Z""}","2021-03-10 06:15:33.680319+00"
"public.portaler.zone","add","{""conns"":[""Oynites-Araosum"",""Sasos-Oiozlum""],""expires"":""2021-03-10T07:16:17.302Z""}","2021-03-10 06:15:17.314288+00"
"public.portaler.zone","delete","{""id"":94193,""size"":2,""conn1"":""Hilitos-Aiigaum"",""conn2"":""Sasos-Oiozlum"",""expires"":""2021-03-10T21:57:20.129+00:00"",""server_id"":4,""created_by"":1520,""created_on"":""2021-03-10T06:14:20.130487+00:00""}","2021-03-10 06:15:01.089768+00"
"public.portaler.zone","delete","{""id"":94192,""size"":7,""conn1"":""Oynites-Oloblum"",""conn2"":""Sasos-Oiozlum"",""expires"":""2021-03-10T18:15:55.835+00:00"",""server_id"":4,""created_by"":1520,""created_on"":""2021-03-10T06:12:55.838042+00:00""}","2021-03-10 06:14:28.316012+00"
"public.portaler.zone","add","{""conns"":[""Hilitos-Aiigaum"",""Sasos-Oiozlum""],""expires"":""2021-03-10T21:57:20.129Z""}","2021-03-10 06:14:20.141289+00"
"public.portaler.zone","add","{""conns"":[""Oynites-Oloblum"",""Sasos-Oiozlum""],""expires"":""2021-03-10T18:15:55.835Z""}","2021-03-10 06:12:55.852931+00"
"public.portaler.zone","add","{""conns"":[""Longfen Veins"",""Sasos-Oiozlum""],""expires"":""2021-03-10T20:26:19.087Z""}","2021-03-10 06:11:19.098132+00"
"public.portaler.zone","add","{""conns"":[""Secent-In-Tersum"",""Tebitos-Igaelum""],""expires"":""2021-03-10T11:49:07.800Z""}","2021-03-09 23:49:07.811887+00"
"public.portaler.zone","add","{""conns"":[""Blackthorn Quarry"",""Tebitos-Igaelum""],""expires"":""2021-03-10T03:47:33.029Z""}","2021-03-09 23:47:33.040736+00"
"public.portaler.zone","delete","{""id"":93961,""size"":7,""conn1"":""Ceritos-Avulsum"",""conn2"":""Setent-Nusum"",""expires"":""2021-03-10T08:57:18.025+00:00"",""server_id"":4,""created_by"":3631,""created_on"":""2021-03-09T22:11:18.026981+00:00""}","2021-03-09 22:29:17.342874+00"
